Files already downloaded and verified
Files already downloaded and verified
prune rate 0.5 regularization odecay 0.9
train 0 ====> Acc@1 15.078 Acc@5 61.624
sparsity 0 ====> 49.17% || num_zero/num_total: 420748/855770
valid 0 ====> Acc@1 17.720 Acc@5 68.420
train 1 ====> Acc@1 21.708 Acc@5 77.070
sparsity 1 ====> 49.20% || num_zero/num_total: 421004/855770
valid 1 ====> Acc@1 24.940 Acc@5 80.040
train 2 ====> Acc@1 25.316 Acc@5 81.966
sparsity 2 ====> 49.29% || num_zero/num_total: 421831/855770
valid 2 ====> Acc@1 24.710 Acc@5 81.690
train 3 ====> Acc@1 28.858 Acc@5 84.116
sparsity 3 ====> 49.34% || num_zero/num_total: 422263/855770
valid 3 ====> Acc@1 25.970 Acc@5 78.020
train 4 ====> Acc@1 32.140 Acc@5 85.462
sparsity 4 ====> 49.33% || num_zero/num_total: 422119/855770
valid 4 ====> Acc@1 29.880 Acc@5 84.690
train 5 ====> Acc@1 34.370 Acc@5 86.784
sparsity 5 ====> 49.26% || num_zero/num_total: 421575/855770
valid 5 ====> Acc@1 34.200 Acc@5 87.690
train 6 ====> Acc@1 35.792 Acc@5 87.986
sparsity 6 ====> 49.30% || num_zero/num_total: 421863/855770
valid 6 ====> Acc@1 36.200 Acc@5 85.450
train 7 ====> Acc@1 36.762 Acc@5 88.306
sparsity 7 ====> 49.33% || num_zero/num_total: 422151/855770
valid 7 ====> Acc@1 35.160 Acc@5 86.190
train 8 ====> Acc@1 36.650 Acc@5 88.554
sparsity 8 ====> 49.30% || num_zero/num_total: 421863/855770
valid 8 ====> Acc@1 33.760 Acc@5 85.510
train 9 ====> Acc@1 38.524 Acc@5 89.040
sparsity 9 ====> 49.20% || num_zero/num_total: 421031/855770
valid 9 ====> Acc@1 38.540 Acc@5 89.610
train 10 ====> Acc@1 39.446 Acc@5 89.374
sparsity 10 ====> 49.30% || num_zero/num_total: 421863/855770
valid 10 ====> Acc@1 23.020 Acc@5 72.910
train 11 ====> Acc@1 40.142 Acc@5 89.734
sparsity 11 ====> 49.13% || num_zero/num_total: 420423/855770
valid 11 ====> Acc@1 39.550 Acc@5 88.580
train 12 ====> Acc@1 40.256 Acc@5 89.510
sparsity 12 ====> 49.20% || num_zero/num_total: 420999/855770
valid 12 ====> Acc@1 41.220 Acc@5 89.560
train 13 ====> Acc@1 41.146 Acc@5 90.102
sparsity 13 ====> 49.20% || num_zero/num_total: 420999/855770
valid 13 ====> Acc@1 38.970 Acc@5 87.800
train 14 ====> Acc@1 42.470 Acc@5 90.536
sparsity 14 ====> 49.20% || num_zero/num_total: 420999/855770
valid 14 ====> Acc@1 23.350 Acc@5 72.770
train 15 ====> Acc@1 43.246 Acc@5 90.850
sparsity 15 ====> 49.13% || num_zero/num_total: 420423/855770
valid 15 ====> Acc@1 41.550 Acc@5 91.040
train 16 ====> Acc@1 44.268 Acc@5 91.156
sparsity 16 ====> 49.11% || num_zero/num_total: 420279/855770
valid 16 ====> Acc@1 24.620 Acc@5 76.960
train 17 ====> Acc@1 43.790 Acc@5 91.224
sparsity 17 ====> 48.98% || num_zero/num_total: 419127/855770
valid 17 ====> Acc@1 32.100 Acc@5 79.160
train 18 ====> Acc@1 44.772 Acc@5 91.790
sparsity 18 ====> 49.11% || num_zero/num_total: 420279/855770
valid 18 ====> Acc@1 44.920 Acc@5 91.590
train 19 ====> Acc@1 46.284 Acc@5 92.130
sparsity 19 ====> 49.11% || num_zero/num_total: 420279/855770
valid 19 ====> Acc@1 40.810 Acc@5 88.290
train 20 ====> Acc@1 46.198 Acc@5 92.296
sparsity 20 ====> 49.03% || num_zero/num_total: 419559/855770
